TeamId,TeamName,SubmissionDate,Score
6068702,fedesoriano,"2022-05-19 20:34:41",0.00000
7999918,Lev1nLee,"2022-04-16 15:45:05",0.00000
7378208,"Alexander Matviiuk","2022-04-09 13:35:27",0.00044
8446075,songhuahuanUCASAMSS,"2022-04-10 09:07:12",0.00044
8449104,fff12138,"2022-04-18 17:08:35",0.00044
7110709,"YIYANG HAO","2022-06-07 09:05:53",0.00044
8419648,4_kegli,"2022-04-10 11:12:45",0.00044
8399764,"dor skoler","2022-04-13 13:26:21",0.00044
8428956,CIS5680,"2022-05-04 18:36:08",0.00044
8475599,"Jin Chuanyang","2022-04-14 13:40:38",0.00044
8480567,hujianxin,"2022-04-16 06:19:35",0.00044
8491623,jungsummer,"2022-04-17 15:16:36",0.00044
1940835,"Asmita Dadhich","2022-04-25 11:24:32",0.00044
8200971,"Aditya Kamal","2022-04-26 06:55:55",0.00044
7622575,gufanmingmie,"2022-04-26 13:15:32",0.00044
8538499,Nagarjuna_1993,"2022-05-01 03:21:42",0.00044
8532606,"Abdalrahman Shahrour","2022-04-28 09:00:17",0.00044
8394192,JuliaDmitrenko,"2022-04-28 14:37:24",0.00044
6672823,Foxandr,"2022-04-29 20:57:57",0.00044
8558715,"Oleksandr Bondarchuk","2022-04-30 19:43:32",0.00044
8444020,JHR5680,"2022-05-01 03:52:40",0.00044
8540733,t020195444,"2022-06-02 14:46:23",0.00044
8483504,"Gulshan Savanth Dommu","2022-05-04 13:29:21",0.00044
8552269,SuyarguLOVElina,"2022-05-05 02:49:06",0.00044
7733050,"Bhanu Sri Edpuganti","2022-05-05 05:58:55",0.00044
3049047,TangZhiFeng,"2022-05-06 01:43:32",0.00044
8592504,"Santosh Shirol","2022-05-09 03:50:31",0.00044
8601590,Yihua1661,"2022-05-10 06:24:00",0.00044
3279480,sakihama,"2022-05-12 14:39:50",0.00044
8625649,"Alger Wang","2022-05-14 00:56:06",0.00044
8640199,Hoshe,"2022-05-17 09:23:04",0.00044
8637012,"Utsav Savaliya","2022-05-19 06:27:26",0.00044
7382442,"madu sudhan Reddy","2022-05-27 07:04:33",0.00044
8660462,SisuoLYU,"2022-05-24 01:56:42",0.00044
8667232,AndrewBaum,"2022-05-23 18:17:22",0.00044
8511330,FocusV857,"2022-06-06 06:16:21",0.00044
8299576,"Yunjia Quan","2022-05-24 19:16:01",0.00044
8674379,"Fiona #3","2022-05-25 06:05:34",0.00044
8674742,"Aakriti Mehta","2022-05-25 07:18:17",0.00044
8683340,"Servant of the AI","2022-05-26 18:35:15",0.00044
8558182,"💥Tesla, Inc.💥","2022-05-26 20:42:16",0.00044
8693595,"Adarsh Malviya #2","2022-05-29 07:07:53",0.00044
8692565,m11009104,"2022-06-05 17:08:24",0.00044
8702359,k.MITA,"2022-06-01 04:54:51",0.00044
8707458,@XIAO,"2022-06-01 02:38:46",0.00044
8707442,@QIN,"2022-06-01 03:36:07",0.00044
6331271,jhlam21,"2022-06-02 05:58:40",0.00044
8707357,cnamba,"2022-06-02 08:31:22",0.00044
8657496,hackerinheels,"2022-06-04 03:16:03",0.00044
6469737,"Vatsal Savaliya","2022-06-03 06:27:21",0.00044
2229708,"Shadman Rohan","2022-06-03 16:19:14",0.00044
8413157,CherryBlossomRain,"2022-06-04 02:39:47",0.00044
8707415,PARULG1991,"2022-06-08 06:43:24",0.00044
8636384,AU_109237003,"2022-06-08 07:17:51",0.00044
8605077,"Francisco Feng","2022-05-10 18:32:40",0.00408
8639377,NTUST_產學快發錢,"2022-06-08 09:42:16",0.01217
8531897,exeb1t,"2022-05-07 20:40:08",0.05430
